gene_common	nemve1	ish_blastula	nvertx.4	24h	48h	72h	96h	120h	144h	168h	192h	0h	1h	2h	3h	4h	5h	6h	7h	8h	9h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	2h	7h	12h	24h	120h	240h	2avg	7avg	12avg	24avg	120avg
ihx1	jgi|Nemve1|109857|e_gw.97.29.1	external_ring	NvERTx.4.65219	4.12	3.87	3.97	4.18	4.4	4.57	4.68	4.87	1.68	1.59	1.45	1.54	1.68	1.33	1.62	1.45	1.7	2.41	4.13	5.28	5.44	5.44	5.18	4.77	4.73	4.16	4.2	3.85	1.34	1.46	5.52	3.98	4.54	4.96	1.395	1.455	5.48	4.05	4.47
lmx	jgi|Nemve1|95727|e_gw.40.28.1	central_ring	NvERTx.4.163467	5.19	4.57	4.67	4.82	4.83	4.84	4.83	4.7	1.07	1.02	0.68	1.1	0.9	0.7	0.75	0.92	0.75	1.11	3.01	4.33	4.91	5.09	5.08	5.04	5.2	5.21	5.34	5.2	0.8	1.28	4.42	5.15	4.86	4.69	0.74	1.1	4.665	5.17	4.845
otxa	jgi|Nemve1|121827|e_gw.183.52.1	central_domain	NvERTx.4.89977	3.74	3.8	3.9	5.12	5.67	5.89	6.02	6.26	6.21	5.82	5.5	5.38	5.23	5.25	5.14	5.01	4.88	4.6	3.93	3.44	3.45	3.19	3.89	3.49	3.96	3.97	4.15	4.28	5.3	4.94	3.71	3.66	5.74	6.24	5.4	4.975	3.58	3.7	5.705
otxb	jgi|Nemve1|121842|e_gw.183.51.1	central_domain	NvERTx.4.122470	3.29	2.39	2.26	3.1	3.49	3.6	3.53	3.63	0.82	0.66	0.75	0.47	0.47	0.5	0.5	0.47	0.49	0.44	0.39	0.35	0.41	0.74	0.53	1.4	1.72	2.94	3.06	3.65	0.54	0.68	0.41	3.53	3.24	3.45	0.645	0.575	0.41	3.41	3.365
sprouty	jgi|Nemve1|29671|gw.51.137.1	central_domain	NvERTx.4.64399	6.37	5.65	5.19	4.9	4.81	4.68	4.68	4.82	4.7	4.47	4.3	4.11	3.75	3.74	3.84	3.41	3.45	3.52	4.31	5.17	5.68	5.95	6.11	6.15	6.35	6.68	6.92	6.58	4.13	3.64	5.6	6.4	4.75	4.38	4.215	3.525	5.64	6.385	4.78
tcf	jgi|Nemve1|132332|e_gw.308.28.1	central_ring	NvERTx.4.100046	5.71	4.82	4.36	4.23	4.36	4.43	4.58	4.62	10.06	9.99	9.84	9.85	9.65	9.62	9.42	9.31	9.15	8.86	8.15	8.04	7.75	7.38	6.45	6.02	6.04	6.15	6.54	6.56	9.36	9.17	8.38	5.59	4.48	4.41	9.6	9.24	8.065	5.65	4.42
wnt2	jgi|Nemve1|242584|estExt_fgenesh1_pg.C_670032	external_ring	NvERTx.4.114430	6.34	6.34	6.03	5.63	5.44	5.48	5.48	5.16	0.61	0.45	0.3	0.45	0.26	0.41	0.46	0.63	2.05	3.68	5.92	6.88	7.32	7.55	7.3	6.9	6.77	6.75	6.73	6.96	0.52	0.55	7.15	6.57	5.19	4.51	0.41	0.59	7.235	6.455	5.315
wnt3	jgi|Nemve1|241352|estExt_fgenesh1_pg.C_440031	central_ring	NvERTx.4.107805	3.57	3.13	2.66	2.21	2.06	2.13	2.08	1.86	1.06	0.92	1.23	1.06	0.99	0.93	1.07	0.82	1.12	1.17	1.76	2.92	3.62	4.8	4.99	5.02	5.23	5.39	5.12	4.57	1.06	1.76	2.88	3.49	2.16	1.88	1.145	1.29	3.25	3.53	2.11
wnt8	jgi|Nemve1|115030|e_gw.129.41.1	central_ring	NvERTx.4.106136	5.57	1.36	-0.08	-0.42	-0.21	-0.38	-0.58	-0.79	1.03	0.92	1.04	0.95	0.91	0.92	0.99	1.16	2.69	4.11	5.65	5.91	5.9	5.97	5.49	5.18	4.98	4.54	4.39	3.71	-0.25	0.96	7.45	5.37	0	-0.76	0.395	1.06	6.675	5.47	-0.105
wnta	jgi|Nemve1|91822|e_gw.28.3.1	central_ring	NvERTx.4.233401	7.03	5.68	4.68	4.47	4.47	4.78	4.99	4.76	0.47	0.41	0.37	0.39	0.42	0.35	0.42	0.29	0.42	0.54	2.18	3.49	4.29	5.02	5.5	5.67	5.96	6.06	6.13	6.11	0.47	0.54	3.92	6.86	4.64	4.98	0.42	0.415	4.105	6.945	4.555
chordin	jgi|Nemve1|242758|estExt_fgenesh1_pg.C_710058	external_ring	NvERTx.4.11798	6.72	7.32	6.99	6.17	5.07	4.62	4.22	3.83	0.86	1.23	0.82	0.61	0.67	0.61	0.72	0.61	0.55	0.92	1.37	2.48	4	5.18	5.95	6.46	6.58	6.68	6.4	6.04	0.66	0.86	3.87	7.36	4.4	3.29	0.74	0.735	3.935	7.04	4.735
wnt4	jgi|Nemve1|194914|estExt_GenewiseH_1.C_4440001	external_ring	NvERTx.4.48248	4.65	5.93	5.56	5.35	5.05	4.99	4.95	4.23	0.06	0.11	0.05	0.04	0	0	0.09	0.03	0.04	0.15	0.8	1.84	2.77	3.46	4.64	4.94	5.31	5.42	5.75	5.74	0.5	0.5	1.82	4.96	4.71	3.18	0.275	0.265	2.295	4.805	4.88
frizzled10	jgi|Nemve1|168924|estExt_gwp.C_1170009	central_domain	NvERTx.4.80873	8.14	5.64	4.88	4.53	4.45	4.5	4.48	4.34	0.75	0.75	0.53	0.64	0.53	0.56	0.54	0.24	1.31	2.61	5.27	6.49	7.08	7.27	7.37	7.34	7.27	7.46	7.36	7.42	0.5	0.55	6.78	7.82	4.75	4.53	0.515	0.395	6.93	7.98	4.6
gsc	jgi|Nemve1|164762|estExt_gwp.C_530110	central_domain	NvERTx.4.69569	1.92	4.81	5.19	5.84	5.91	5.68	5.47	5.44	0	0.12	-0.03	0.02	0	0	0	-0.02	0	0	0.45	0.65	1.06	1.13	1.44	1.02	0.84	1.05	0.8	1	0.16	0.1	0.73	2	5.81	4.7	0.065	0.04	0.895	1.96	5.86
nanos2	jgi|Nemve1|177823|estExt_GenewiseH_1.C_40292	central_domain	NvERTx.4.64442	5.78	5.86	5.65	5.66	5.69	5.48	5.29	5.31	9.61	9.32	9.22	9.12	8.97	8.9	8.91	8.9	8.98	8.96	8.1	7.44	6.81	6.49	6.36	6.4	6.62	6.89	7.01	6.84	8.84	8.47	7.63	6.01	5.45	4.85	9.03	8.685	7.22	5.895	5.57
nvashc	jgi|Nemve1|141592|e_gw.588.6.1	neural_ectoderm	NvERTx.4.50783	0.02	1.7	2.38	2.68	3.05	3.1	3.38	3.3	0.14	0.22	0.24	0.17	0.2	0.16	0.24	0.2	0.17	0.14	0.14	0.14	0.1	0.14	0.2	0.19	0.17	0.25	0.33	0.29	0.25	0.11	0.18	0.33	2.74	2.93	0.245	0.155	0.14	0.175	2.895
otxc	jgi|Nemve1|213735|fgenesh1_pg.scaffold_183000021	central_domain	NvERTx.4.122454	2.14	4.73	4.75	5.12	5.22	5.11	5.01	4.99	1.05	0.78	0.9	0.81	0.84	1.06	0.99	0.97	0.9	0.85	1.16	1.05	1.13	1.3	1.5	1.47	1.67	2.12	2.28	2.78	1.05	0.76	1.19	2.37	4.98	4.8	0.975	0.865	1.16	2.255	5.1
snaila	NA	central_domain	NvERTx.4.57437	4.33	3.17	2.76	2.98	3.09	3.32	3.18	2.88	0.05	0.06	0.17	0.06	0.12	0.01	-0.01	-0.02	0.12	0.06	0.58	1.47	2.18	2.86	3.16	3.8	4.07	4.06	4.15	3.95	0.4	0.42	1.49	4.3	3.1	2.62	0.285	0.2	1.835	4.315	3.095
snailb	jgi|Nemve1|236363|estExt_fgenesh1_kg.C_50021	central_domain	NvERTx.4.142825	4.68	3.98	3.7	3.4	3.33	3.23	2.97	2.94	2.88	2.96	2.52	2.51	2.16	2.34	1.88	2.01	2.24	2.29	3.11	3.59	3.97	4.25	4.59	4.93	5.06	5.13	5.28	5.39	2.52	2.57	3.4	4.76	3.23	2.83	2.52	2.29	3.685	4.72	3.28
tolloid	jgi|Nemve1|166027|estExt_gwp.C_670192	central_domain	NvERTx.4.87162	3.77	4	3.94	3.88	3.92	3.84	3.76	3.94	0.55	0.81	0.49	0.65	0.63	0.5	0.57	0.43	0.53	0.61	0.61	0.52	0.52	0.8	0.8	1.59	1.85	2.75	3.34	3.78	0.46	0.38	0.6	3.86	3.82	3.87	0.475	0.405	0.56	3.815	3.87
vasa1	jgi|Nemve1|120512|e_gw.171.73.1	central_domain	NvERTx.4.169115	6.69	4.38	3.93	3.69	3.66	3.63	3.25	3.18	5.72	6.1	5.74	5.9	5.6	5.89	5.72	5.87	5.9	5.85	6.17	5.95	5.88	5.64	5.51	5.61	5.51	5.36	5.4	5.3	6.38	5.43	5.57	6.35	3.95	3.45	6.06	5.65	5.725	6.52	3.805
vasa2	jgi|Nemve1|88129|e_gw.17.3.1	central_domain	NvERTx.4.151316	8.44	7.63	7.27	7.05	7.02	6.89	6.75	6.85	6.95	7.13	6.89	6.57	6.4	6.51	6.58	6.41	6.61	6.63	6.62	6.78	6.74	6.92	6.91	7.11	7.04	7.53	7.56	7.73	6.37	6.64	7	8.42	7.02	6.61	6.63	6.525	6.87	8.43	7.02
